Especie,Isla,Sexo,Anio,Longitud_ Pico_cm,Profundidad _Pico_cm,Longitud_ Aleta_cm,Masa_ Corporal_kg
Adelie,Torgersen,Macho,2007,3.91,1.87,18.1,3.75
Adelie,Torgersen,Hembra,2007,3.95,1.74,18.6,3.8
Adelie,Torgersen,Hembra,2007,4.03,1.8,19.5,3.25
Adelie,Torgersen,Hembra,2007,3.88,1.83,19,3.7
Adelie,Torgersen,Hembra,2007,3.67,1.93,19.3,3.45
Adelie,Torgersen,Macho,2007,3.93,2.06,19,3.65
Adelie,Torgersen,Hembra,2007,3.89,1.78,18.1,3.625
Adelie,Torgersen,Macho,2007,3.92,1.96,19.5,4.675
Adelie,Torgersen,Hembra,2007,3.41,1.81,19.3,3.475
Adelie,Torgersen,Macho,2007,4.2,2.02,19,4.25
Adelie,Torgersen,Hembra,2007,3.78,1.71,18.6,3.3
Adelie,Torgersen,Hembra,2007,3.78,1.73,18,3.7
Adelie,Torgersen,Hembra,2007,4.11,1.76,18.2,3.2
Adelie,Torgersen,Macho,2007,3.86,2.12,19.1,3.8
Adelie,Torgersen,Macho,2007,3.46,2.11,19.8,4.4
Adelie,Torgersen,Hembra,2007,3.66,1.78,18.5,3.7
Adelie,Torgersen,Hembra,2007,3.87,1.9,19.5,3.45
Adelie,Torgersen,Macho,2007,4.25,2.07,19.7,4.5
Adelie,Torgersen,Hembra,2007,3.44,1.84,18.4,3.325
Adelie,Torgersen,Macho,2007,4.6,2.15,19.4,4.2
Adelie,Biscoe,Hembra,2007,3.78,1.83,17.4,3.4
Adelie,Biscoe,Macho,2007,3.77,1.87,18,3.6
Adelie,Biscoe,Hembra,2007,3.59,1.92,18.9,3.8
Adelie,Biscoe,Macho,2007,3.82,1.81,18.5,3.95
Adelie,Biscoe,Macho,2007,3.88,1.72,18,3.8
Adelie,Biscoe,Hembra,2007,3.53,1.89,18.7,3.8
Adelie,Biscoe,Macho,2007,4.06,1.86,18.3,3.55
Adelie,Biscoe,Hembra,2007,4.05,1.79,18.7,3.2
Adelie,Biscoe,Hembra,2007,3.79,1.86,17.2,3.15
Adelie,Biscoe,Macho,2007,4.05,1.89,18,3.95
Adelie,Dream,Hembra,2007,3.95,1.67,17.8,3.25
Adelie,Dream,Macho,2007,3.72,1.81,17.8,3.9
Adelie,Dream,Hembra,2007,3.95,1.78,18.8,3.3
Adelie,Dream,Macho,2007,4.09,1.89,18.4,3.9
Adelie,Dream,Hembra,2007,3.64,1.7,19.5,3.325
Adelie,Dream,Macho,2007,3.92,2.11,19.6,4.15
Adelie,Dream,Macho,2007,3.88,2,19,3.95
Adelie,Dream,Hembra,2007,4.22,1.85,18,3.55
Adelie,Dream,Hembra,2007,3.76,1.93,18.1,3.3
Adelie,Dream,Macho,2007,3.98,1.91,18.4,4.65
Adelie,Dream,Hembra,2007,3.65,1.8,18.2,3.15
Adelie,Dream,Macho,2007,4.08,1.84,19.5,3.9
Adelie,Dream,Hembra,2007,3.6,1.85,18.6,3.1
Adelie,Dream,Macho,2007,4.41,1.97,19.6,4.4
Adelie,Dream,Hembra,2007,3.7,1.69,18.5,3
Adelie,Dream,Macho,2007,3.96,1.88,19,4.6
Adelie,Dream,Macho,2007,4.11,1.9,18.2,3.425
Adelie,Dream,Hembra,2007,3.75,1.89,17.9,2.975
Adelie,Dream,Hembra,2007,3.6,1.79,19,3.45
Adelie,Dream,Macho,2007,4.23,2.12,19.1,4.15
Adelie,Biscoe,Hembra,2008,3.96,1.77,18.6,3.5
Adelie,Biscoe,Macho,2008,4.01,1.89,18.8,4.3
Adelie,Biscoe,Hembra,2008,3.5,1.79,19,3.45
Adelie,Biscoe,Macho,2008,4.2,1.95,20,4.05
Adelie,Biscoe,Hembra,2008,3.45,1.81,18.7,2.9
Adelie,Biscoe,Macho,2008,4.14,1.86,19.1,3.7
Adelie,Biscoe,Hembra,2008,3.9,1.75,18.6,3.55
Adelie,Biscoe,Macho,2008,4.06,1.88,19.3,3.8
Adelie,Biscoe,Hembra,2008,3.65,1.66,18.1,2.85
Adelie,Biscoe,Macho,2008,3.76,1.91,19.4,3.75
Adelie,Biscoe,Hembra,2008,3.57,1.69,18.5,3.15
Adelie,Biscoe,Macho,2008,4.13,2.11,19.5,4.4
Adelie,Biscoe,Hembra,2008,3.76,1.7,18.5,3.6
Adelie,Biscoe,Macho,2008,4.11,1.82,19.2,4.05
Adelie,Biscoe,Hembra,2008,3.64,1.71,18.4,2.85
Adelie,Biscoe,Macho,2008,4.16,1.8,19.2,3.95
Adelie,Biscoe,Hembra,2008,3.55,1.62,19.5,3.35
Adelie,Biscoe,Macho,2008,4.11,1.91,18.8,4.1
Adelie,Torgersen,Hembra,2008,3.59,1.66,19,3.05
Adelie,Torgersen,Macho,2008,4.18,1.94,19.8,4.45
Adelie,Torgersen,Hembra,2008,3.35,1.9,19,3.6
Adelie,Torgersen,Macho,2008,3.97,1.84,19,3.9
Adelie,Torgersen,Hembra,2008,3.96,1.72,19.6,3.55
Adelie,Torgersen,Macho,2008,4.58,1.89,19.7,4.15
Adelie,Torgersen,Hembra,2008,3.55,1.75,19,3.7
Adelie,Torgersen,Macho,2008,4.28,1.85,19.5,4.25
Adelie,Torgersen,Hembra,2008,4.09,1.68,19.1,3.7
Adelie,Torgersen,Macho,2008,3.72,1.94,18.4,3.9
Adelie,Torgersen,Hembra,2008,3.62,1.61,18.7,3.55
Adelie,Torgersen,Macho,2008,4.21,1.91,19.5,4
Adelie,Torgersen,Hembra,2008,3.46,1.72,18.9,3.2
